id,name,urbanCenter,capital,pop2015Cat,lat,lon
1,Honolulu,1,0,>500k,21.34,-157.89
3,Santa Maria,1,0,>100k,34.92,-120.43
5,Santa Barbara,1,0,>100k,34.43,-119.74
6,Santa Cruz,1,0,>100k,36.97,-121.98
7,Salinas,1,0,>100k,36.69,-121.64
8,Oxnard,1,0,>250k,34.22,-119.21
10,San Jose,1,0,>500k,37.33,-121.93
12,Thousand Oaks,1,0,>100k,34.18,-118.86
13,San Rafael,1,0,>100k,37.97,-122.53
14,Los Angeles,1,0,>500k,33.95,-117.95
16,Simi Valley,1,0,>100k,34.27,-118.74
17,Santa Rosa,1,0,>100k,38.44,-122.71
18,Concord,1,0,>500k,37.91,-122.05
20,Ensenada,1,0,>250k,31.85,-116.6
21,Tijuana,1,0,>500k,32.82,-117.11
24,Santa Clarita,1,0,>100k,34.42,-118.53
26,Antioch,1,0,>250k,37.99,-121.8
29,Bakersfield,1,0,>500k,35.36,-119.05
32,Palmdale,1,0,>250k,34.58,-118.13
34,Stockton,1,0,>250k,37.97,-121.3
35,Modesto,1,0,>250k,37.65,-120.99
37,Temecula,1,0,>100k,33.53,-117.15
43,Cabo San Lucas,1,0,>100k,22.91,-109.93
45,Moreno Valley,1,0,>100k,33.93,-117.24
46,Fresno,1,0,>500k,36.79,-119.77
48,Visalia,1,0,>100k,36.33,-119.33
49,Sacramento,1,0,>500k,38.6,-121.39
50,Hemet,1,0,>100k,33.75,-116.96
52,La Paz,1,0,>100k,24.12,-110.31
53,San José del Cabo,1,0,>100k,23.08,-109.71
56,Indio,1,0,>250k,33.75,-116.37
57,Mexicali,1,0,>500k,32.63,-115.45
59,San Luis Río Colorado,1,0,>100k,32.46,-114.77
62,Guaymas,1,0,>100k,27.92,-110.91
63,Los Mochis,1,0,>250k,25.79,-109
65,Hermosillo,1,0,>500k,29.09,-110.97
66,Ciudad Obregón,1,0,>250k,27.48,-109.94
67,Reno,1,0,>100k,39.51,-119.79
68,Navojoa,1,0,>100k,27.07,-109.44
73,Culiacán,1,0,>500k,24.8,-107.41
74,Las Vegas,1,0,>500k,36.14,-115.16
75,Mazatlán,1,0,>250k,23.24,-106.41
76,Puerto Vallarta,1,0,>100k,20.65,-105.22
77,Manzanillo,1,0,>100k,19.09,-104.31
78,Heroica Nogales,1,0,>100k,31.3,-110.95
79,Phoenix,1,0,>500k,33.48,-112
81,Tepic,1,0,>250k,21.5,-104.88
82,Eugene,1,0,>100k,44.07,-123.08
83,Colima,1,0,>250k,19.25,-103.73
84,Tucson,1,0,>500k,32.24,-110.93
88,Guadalajara,1,0,>500k,20.64,-103.36
90,Salem,1,0,>100k,44.94,-123.02
92,Lázaro Cárdenas,1,0,>100k,17.98,-102.22
93,Durango,1,0,>500k,24.03,-104.65
94,Apatzingán,1,0,>100k,19.09,-102.35
97,Cuauhtémoc,1,0,>100k,28.41,-106.86
101,Portland,1,0,>500k,45.53,-122.67
104,Hidalgo del Parral,1,0,>100k,26.93,-105.68
105,Zamora,1,0,>100k,19.99,-102.28
106,Uruapan,1,0,>250k,19.41,-102.05
111,Chihuahua,1,0,>500k,28.66,-106.09
112,Aguascalientes,1,0,>500k,21.89,-102.29
113,Fresnillo,1,0,>100k,23.18,-102.87
114,San Francisco del Rincón,1,0,>100k,21.03,-101.86
115,Zacatecas,1,0,>250k,22.76,-102.55
116,Morelia,1,0,>500k,19.71,-101.2
117,Delicias,1,0,>100k,28.19,-105.46
118,Lagos de Moreno,1,0,>100k,21.36,-101.93
119,León,1,0,>500k,21.12,-101.67
120,Uriangato,1,0,>100k,20.13,-101.18
121,Irapuato,1,0,>250k,20.68,-101.36
122,Acapulco,1,0,>500k,16.87,-99.86
125,Salamanca,1,0,>100k,20.57,-101.2
126,Torreon,1,0,>500k,25.55,-103.43
127,Guanajuato,1,0,>100k,21.02,-101.25
132,Celaya,1,0,>250k,20.53,-100.82
136,Chilpancingo,1,0,>100k,17.55,-99.5
139,Querétaro,1,0,>500k,20.6,-100.41
140,Seattle,1,0,>500k,47.5,-122.3
141,Iguala,1,0,>100k,18.35,-99.54
143,Ciudad Juárez,1,0,>500k,31.7,-106.39
144,San Luis Potosí,1,0,>500k,22.15,-100.96
146,Toluca,1,0,>500k,19.29,-99.62
150,San Juan del Río,1,0,>100k,20.39,-99.98
151,Capulhuac de Mirafuentes,1,0,>100k,19.18,-99.45
153,Cuernavaca,1,0,>500k,18.89,-99.21
154,Mexico City,1,1,>500k,19.44,-99.13
156,Cuautla,1,0,>100k,18.84,-98.95
159,Coyotepec,1,0,>100k,19.76,-99.2
160,Victoria,1,0,>100k,48.45,-123.36
168,Chiconcuac,1,0,>250k,19.52,-98.88
171,Boise,1,0,>250k,43.62,-116.3
175,Pachuca,1,0,>250k,20.1,-98.74
176,Texmelucan,1,0,>100k,19.28,-98.44
177,Puebla,1,0,>500k,19.05,-98.22
178,Saltillo,1,0,>500k,25.42,-100.98
180,Tlaxcala,1,0,>250k,19.3,-98.21
181,Zacatelco,1,0,>100k,19.19,-98.23
182,Kennewick,1,0,>100k,46.21,-119.16
183,Anchorage,1,0,>100k,61.2,-149.83
185,Apizaco,1,0,>100k,19.42,-98.14
186,Tulancingo,1,0,>100k,20.08,-98.36
187,Vancouver,1,0,>500k,49.23,-122.99
188,Monclova,1,0,>250k,26.9,-101.43
189,Ciudad Valles,1,0,>100k,21.99,-99.01
192,Provo,1,0,>250k,40.32,-111.72
193,Salt Lake City,1,0,>500k,40.65,-111.92
196,Albuquerque,1,0,>500k,35.13,-106.63
197,Tehuacán,1,0,>250k,18.46,-97.4
198,García,1,0,>250k,25.8,-100.6
199,Langley,1,0,>100k,49.11,-122.69
200,Monterrey,1,0,>500k,25.71,-100.28
202,Oaxaca,1,0,>500k,17.07,-96.73
205,Abbotsford,1,0,>100k,49.05,-122.31
206,Ogden,1,0,>250k,41.08,-111.99
207,Orizaba,1,0,>250k,18.84,-97.12
208,Ciudad Victoria,1,0,>250k,23.74,-99.15
210,San Luis,1,0,>250k,25.91,-100.17
214,Córdoba,1,0,>100k,18.9,-96.95
